app_name,time_created,count
Rocket League,2020-03-08,269
Rocket League,2020-09-05,245
Rocket League,2020-08-10,245
Rocket League,2020-07-16,218
Rocket League,2020-02-06,353
Rocket League,2020-07-20,236
Rocket League,2020-03-22,378
Rocket League,2020-05-09,275
Rocket League,2020-09-30,489
Rocket League,2020-01-09,324
Rocket League,2020-10-13,342
Rocket League,2020-07-11,261
Rocket League,2020-04-02,469
Rocket League,2020-08-21,217
Rocket League,2020-07-21,307
Rocket League,2020-10-29,332
Rocket League,2020-04-04,414
Rocket League,2020-04-21,391
Rocket League,2020-09-12,216
Rocket League,2020-08-18,236
Rocket League,2020-02-29,318
Rocket League,2020-02-25,240
Rocket League,2020-10-07,366
Rocket League,2020-07-30,247
Rocket League,2020-09-01,282
Rocket League,2020-04-18,425
Rocket League,2020-01-26,550
Rocket League,2020-12-12,302
Rocket League,2020-09-22,470
Rocket League,2020-08-03,256
Rocket League,2020-05-03,308
Rocket League,2020-03-30,448
Rocket League,2020-10-25,365
Rocket League,2020-11-18,382
Rocket League,2020-07-04,299
Rocket League,2020-08-22,265
Rocket League,2020-08-04,250
Rocket League,2020-03-19,342
Rocket League,2020-11-08,313
Rocket League,2020-10-19,410
Rocket League,2020-09-26,653
Rocket League,2020-01-01,508
Rocket League,2020-04-09,398
Rocket League,2020-11-29,536
Rocket League,2020-10-22,318
Rocket League,2020-08-07,255
Rocket League,2020-06-02,242
Rocket League,2020-11-20,215
Rocket League,2020-06-20,261
Rocket League,2020-12-05,252
Rocket League,2020-12-01,423
Rocket League,2020-11-02,256
Rocket League,2020-07-02,300
Rocket League,2020-06-12,234
Rocket League,2020-02-15,281
Rocket League,2020-02-09,372
Rocket League,2020-11-03,276
Rocket League,2020-10-15,304
Rocket League,2020-04-16,481
Rocket League,2020-02-24,237
Rocket League,2020-12-25,267
Rocket League,2020-06-21,234
Rocket League,2020-02-19,265
Rocket League,2020-05-07,293
Rocket League,2020-12-02,255
Rocket League,2020-04-29,353
Rocket League,2020-12-18,280
Rocket League,2020-09-07,218
Rocket League,2020-07-10,270
Rocket League,2020-02-04,590
Rocket League,2020-12-19,281
Rocket League,2020-12-16,260
Rocket League,2020-11-22,238
Rocket League,2020-10-16,351
Rocket League,2020-06-16,596
Rocket League,2020-03-04,225
Rocket League,2020-01-07,365
Rocket League,2020-09-27,626
Rocket League,2020-08-15,255
Rocket League,2020-03-06,224
Rocket League,2020-12-26,284
Rocket League,2020-11-30,459
Rocket League,2020-10-09,355
Rocket League,2020-05-24,244
Rocket League,2020-02-20,251
Rocket League,2020-02-13,240
Rocket League,2020-02-21,297
Rocket League,2020-05-28,245
Rocket League,2020-05-22,275
Rocket League,2020-09-17,1552
Rocket League,2020-10-10,396
Rocket League,2020-03-11,505
Rocket League,2020-04-25,337
Rocket League,2020-02-16,339
Rocket League,2020-06-01,243
Rocket League,2020-09-21,306
Rocket League,2020-04-26,324
Rocket League,2020-01-15,609
Rocket League,2020-12-07,234
Rocket League,2020-06-06,239
Rocket League,2020-04-22,368
Rocket League,2020-10-20,612
Rocket League,2020-05-05,294
Rocket League,2020-04-19,399
Rocket League,2020-05-20,256
Rocket League,2020-05-15,306
Rocket League,2020-11-28,635
Rocket League,2020-04-11,408
Rocket League,2020-03-23,416
Rocket League,2020-06-18,277
Rocket League,2020-06-17,358
Rocket League,2020-04-27,370
Rocket League,2020-10-14,352
Rocket League,2020-09-15,248
Rocket League,2020-08-06,231
Rocket League,2020-07-28,262
Rocket League,2020-04-07,442
Rocket League,2020-01-24,566
Rocket League,2020-06-28,345
Rocket League,2020-10-21,367
Rocket League,2020-07-09,295
Rocket League,2020-04-14,467
Rocket League,2020-11-14,272
Rocket League,2020-11-16,220
Rocket League,2020-09-03,273
Rocket League,2020-05-21,274
Rocket League,2020-10-06,348
Rocket League,2020-03-13,418
Rocket League,2020-03-09,226
Rocket League,2020-12-23,289
Rocket League,2020-05-17,233
Rocket League,2020-10-24,348
Rocket League,2020-02-14,266
Rocket League,2020-03-25,680
Rocket League,2020-10-28,295
Rocket League,2020-02-01,734
Rocket League,2020-01-22,314
Rocket League,2020-09-16,1904
Rocket League,2020-07-25,275
Rocket League,2020-04-03,430
Rocket League,2020-09-02,254
Rocket League,2020-04-20,446
Rocket League,2020-12-20,282
Rocket League,2020-01-23,375
Rocket League,2020-07-19,242
Rocket League,2020-05-13,293
Rocket League,2020-08-14,220
Rocket League,2020-11-23,266
Rocket League,2020-08-16,252
Rocket League,2020-09-28,481
Rocket League,2020-09-24,924
Rocket League,2020-07-05,298
Rocket League,2020-03-21,355
Rocket League,2020-02-02,527
Rocket League,2020-01-03,521
Rocket League,2020-02-07,325
Rocket League,2020-02-11,259
Rocket League,2020-09-11,230
Rocket League,2020-02-03,297
Rocket League,2020-10-30,340
Rocket League,2020-10-23,284
Rocket League,2020-07-07,305
Rocket League,2020-11-19,247
Rocket League,2020-05-23,284
Rocket League,2020-11-24,215
Rocket League,2020-06-19,254
Rocket League,2020-05-19,293
Rocket League,2020-05-11,293
Rocket League,2020-02-22,329
Rocket League,2020-01-11,435
Rocket League,2020-07-01,312
Rocket League,2020-12-17,527
Rocket League,2020-08-27,282
